Epoch: [67][0/97], lr: 0.01000	Time 11.850 (11.850)	Data 10.978 (10.978)	Loss 2.5149 (2.5149)	Prec@1 95.312 (95.312)	Prec@5 98.438 (98.438)
Epoch: [68][0/97], lr: 0.01000	Time 10.657 (10.657)	Data 9.873 (9.873)	Loss 2.5728 (2.5728)	Prec@1 97.656 (97.656)	Prec@5 99.219 (99.219)
Epoch: [69][0/97], lr: 0.01000	Time 10.636 (10.636)	Data 9.837 (9.837)	Loss 2.6221 (2.6221)	Prec@1 92.188 (92.188)	Prec@5 97.656 (97.656)
Epoch: [70][0/97], lr: 0.01000	Time 10.741 (10.741)	Data 9.913 (9.913)	Loss 2.4782 (2.4782)	Prec@1 96.094 (96.094)	Prec@5 98.438 (98.438)
Epoch: [71][0/97], lr: 0.01000	Time 10.441 (10.441)	Data 9.578 (9.578)	Loss 2.5050 (2.5050)	Prec@1 96.875 (96.875)	Prec@5 98.438 (98.438)
Epoch: [72][0/97], lr: 0.01000	Time 10.514 (10.514)	Data 9.657 (9.657)	Loss 2.4909 (2.4909)	Prec@1 96.094 (96.094)	Prec@5 99.219 (99.219)
Epoch: [73][0/97], lr: 0.01000	Time 10.781 (10.781)	Data 9.865 (9.865)	Loss 2.5289 (2.5289)	Prec@1 93.750 (93.750)	Prec@5 98.438 (98.438)
Epoch: [74][0/97], lr: 0.01000	Time 11.710 (11.710)	Data 10.845 (10.845)	Loss 2.4968 (2.4968)	Prec@1 94.531 (94.531)	Prec@5 99.219 (99.219)
Epoch: [75][0/97], lr: 0.01000	Time 10.943 (10.943)	Data 10.050 (10.050)	Loss 2.4892 (2.4892)	Prec@1 92.188 (92.188)	Prec@5 96.875 (96.875)
Epoch: [76][0/97], lr: 0.01000	Time 10.412 (10.412)	Data 9.573 (9.573)	Loss 2.4734 (2.4734)	Prec@1 98.438 (98.438)	Prec@5 98.438 (98.438)
Epoch: [77][0/97], lr: 0.01000	Time 10.463 (10.463)	Data 9.574 (9.574)	Loss 2.4838 (2.4838)	Prec@1 96.094 (96.094)	Prec@5 100.000 (100.000)
Epoch: [78][0/97], lr: 0.01000	Time 10.599 (10.599)	Data 9.704 (9.704)	Loss 2.5565 (2.5565)	Prec@1 90.625 (90.625)	Prec@5 99.219 (99.219)
Epoch: [79][0/97], lr: 0.01000	Time 10.433 (10.433)	Data 9.625 (9.625)	Loss 2.4766 (2.4766)	Prec@1 96.094 (96.094)	Prec@5 98.438 (98.438)
Epoch: [80][0/97], lr: 0.01000	Time 10.385 (10.385)	Data 9.606 (9.606)	Loss 2.5346 (2.5346)	Prec@1 95.312 (95.312)	Prec@5 97.656 (97.656)
Epoch: [81][0/97], lr: 0.01000	Time 10.401 (10.401)	Data 9.557 (9.557)	Loss 2.5184 (2.5184)	Prec@1 96.094 (96.094)	Prec@5 99.219 (99.219)
Epoch: [82][0/97], lr: 0.01000	Time 10.691 (10.691)	Data 9.793 (9.793)	Loss 2.5581 (2.5581)	Prec@1 94.531 (94.531)	Prec@5 96.094 (96.094)
Epoch: [83][0/97], lr: 0.01000	Time 10.474 (10.474)	Data 9.539 (9.539)	Loss 2.5156 (2.5156)	Prec@1 96.094 (96.094)	Prec@5 97.656 (97.656)
Epoch: [84][0/97], lr: 0.01000	Time 10.352 (10.352)	Data 9.552 (9.552)	Loss 2.4990 (2.4990)	Prec@1 97.656 (97.656)	Prec@5 100.000 (100.000)
Epoch: [85][0/97], lr: 0.01000	Time 10.672 (10.672)	Data 9.548 (9.548)	Loss 2.5286 (2.5286)	Prec@1 94.531 (94.531)	Prec@5 99.219 (99.219)
Epoch: [86][0/97], lr: 0.01000	Time 10.585 (10.585)	Data 9.521 (9.521)	Loss 2.5579 (2.5579)	Prec@1 92.969 (92.969)	Prec@5 99.219 (99.219)
Epoch: [87][0/97], lr: 0.01000	Time 12.060 (12.060)	Data 10.824 (10.824)	Loss 2.5488 (2.5488)	Prec@1 91.406 (91.406)	Prec@5 97.656 (97.656)
Epoch: [88][0/97], lr: 0.01000	Time 10.341 (10.341)	Data 9.579 (9.579)	Loss 2.4287 (2.4287)	Prec@1 97.656 (97.656)	Prec@5 98.438 (98.438)
Epoch: [89][0/97], lr: 0.01000	Time 10.585 (10.585)	Data 9.792 (9.792)	Loss 2.4965 (2.4965)	Prec@1 95.312 (95.312)	Prec@5 98.438 (98.438)
Epoch: [90][0/97], lr: 0.01000	Time 10.434 (10.434)	Data 9.594 (9.594)	Loss 2.4406 (2.4406)	Prec@1 96.875 (96.875)	Prec@5 98.438 (98.438)
Epoch: [91][0/97], lr: 0.01000	Time 10.988 (10.988)	Data 9.574 (9.574)	Loss 2.4586 (2.4586)	Prec@1 93.750 (93.750)	Prec@5 99.219 (99.219)
Epoch: [92][0/97], lr: 0.01000	Time 10.796 (10.796)	Data 9.526 (9.526)	Loss 2.5580 (2.5580)	Prec@1 96.094 (96.094)	Prec@5 100.000 (100.000)
Epoch: [93][0/97], lr: 0.01000	Time 10.285 (10.285)	Data 9.502 (9.502)	Loss 2.4533 (2.4533)	Prec@1 96.094 (96.094)	Prec@5 99.219 (99.219)
Epoch: [94][0/97], lr: 0.01000	Time 10.496 (10.496)	Data 9.613 (9.613)	Loss 2.4674 (2.4674)	Prec@1 96.094 (96.094)	Prec@5 100.000 (100.000)
Epoch: [95][0/97], lr: 0.01000	Time 10.167 (10.167)	Data 9.399 (9.399)	Loss 2.4527 (2.4527)	Prec@1 94.531 (94.531)	Prec@5 99.219 (99.219)
Epoch: [96][0/97], lr: 0.01000	Time 10.292 (10.292)	Data 9.510 (9.510)	Loss 2.4843 (2.4843)	Prec@1 97.656 (97.656)	Prec@5 99.219 (99.219)
Epoch: [97][0/97], lr: 0.01000	Time 10.331 (10.331)	Data 9.501 (9.501)	Loss 2.4084 (2.4084)	Prec@1 98.438 (98.438)	Prec@5 100.000 (100.000)
Epoch: [98][0/97], lr: 0.01000	Time 10.304 (10.304)	Data 9.512 (9.512)	Loss 2.5065 (2.5065)	Prec@1 93.750 (93.750)	Prec@5 99.219 (99.219)
Epoch: [99][0/97], lr: 0.01000	Time 10.540 (10.540)	Data 9.719 (9.719)	Loss 2.4457 (2.4457)	Prec@1 96.094 (96.094)	Prec@5 100.000 (100.000)
Epoch: [100][0/97], lr: 0.01000	Time 10.394 (10.394)	Data 9.595 (9.595)	Loss 2.3857 (2.3857)	Prec@1 98.438 (98.438)	Prec@5 99.219 (99.219)
Epoch: [101][0/97], lr: 0.01000	Time 10.497 (10.497)	Data 9.723 (9.723)	Loss 2.4801 (2.4801)	Prec@1 96.094 (96.094)	Prec@5 99.219 (99.219)
Epoch: [102][0/97], lr: 0.01000	Time 10.209 (10.209)	Data 9.418 (9.418)	Loss 2.5474 (2.5474)	Prec@1 93.750 (93.750)	Prec@5 97.656 (97.656)
Epoch: [103][0/97], lr: 0.01000	Time 10.453 (10.453)	Data 9.461 (9.461)	Loss 2.4419 (2.4419)	Prec@1 97.656 (97.656)	Prec@5 99.219 (99.219)
Epoch: [104][0/97], lr: 0.01000	Time 10.281 (10.281)	Data 9.529 (9.529)	Loss 2.4692 (2.4692)	Prec@1 97.656 (97.656)	Prec@5 97.656 (97.656)
Epoch: [105][0/97], lr: 0.01000	Time 10.103 (10.103)	Data 9.348 (9.348)	Loss 2.4174 (2.4174)	Prec@1 97.656 (97.656)	Prec@5 98.438 (98.438)
Epoch: [106][0/97], lr: 0.01000	Time 10.342 (10.342)	Data 9.516 (9.516)	Loss 2.4752 (2.4752)	Prec@1 96.094 (96.094)	Prec@5 97.656 (97.656)
Epoch: [107][0/97], lr: 0.01000	Time 10.617 (10.617)	Data 9.670 (9.670)	Loss 2.4746 (2.4746)	Prec@1 95.312 (95.312)	Prec@5 96.875 (96.875)
Epoch: [108][0/97], lr: 0.01000	Time 10.159 (10.159)	Data 9.425 (9.425)	Loss 2.4527 (2.4527)	Prec@1 96.875 (96.875)	Prec@5 100.000 (100.000)
Epoch: [109][0/97], lr: 0.01000	Time 10.187 (10.187)	Data 9.427 (9.427)	Loss 2.3875 (2.3875)	Prec@1 96.875 (96.875)	Prec@5 100.000 (100.000)
Epoch: [110][0/97], lr: 0.01000	Time 12.957 (12.957)	Data 12.195 (12.195)	Loss 2.4723 (2.4723)	Prec@1 94.531 (94.531)	Prec@5 100.000 (100.000)
Epoch: [111][0/97], lr: 0.01000	Time 11.097 (11.097)	Data 10.327 (10.327)	Loss 2.4627 (2.4627)	Prec@1 95.312 (95.312)	Prec@5 97.656 (97.656)
Epoch: [112][0/97], lr: 0.01000	Time 10.989 (10.989)	Data 9.874 (9.874)	Loss 2.4321 (2.4321)	Prec@1 97.656 (97.656)	Prec@5 100.000 (100.000)
Epoch: [113][0/97], lr: 0.01000	Time 10.592 (10.592)	Data 9.721 (9.721)	Loss 2.4749 (2.4749)	Prec@1 96.875 (96.875)	Prec@5 99.219 (99.219)
